01;Освіта/Педагогіка;HUMANITIES
02;Культура і мистецтво;HUMANITIES
03;Гуманітарні науки;HUMANITIES
05;Соціальні та поведінкові науки;HUMANITIES
06;Журналістика;HUMANITIES
07;Управління та адміністрування;HUMANITIES
08;Право;HUMANITIES
09;Біологія;HUMANITIES
10;Природничі науки;HUMANITIES
11;Математика та статистика;TECHNICAL
12;Інформаційні технології;TECHNICAL
13;Механічна інженерія;TECHNICAL
14;Електрична інженерія;TECHNICAL
15;Автоматизація та приладобудування;TECHNICAL
16;Хімічна та біоінженерія;TECHNICAL
17;Електроніка та телекомунікації;TECHNICAL
18;Виробництво та технології;TECHNICAL
19;Архітектура та будівництво;TECHNICAL
20;Аграрні науки та продовольство;HUMANITIES
21;Ветеринарна медицина;HUMANITIES
22;Охорона здоров’я;HUMANITIES
23;Соціальна робота;HUMANITIES
24;Сфера обслуговування;HUMANITIES
25;Воєнні науки, національна безпека, безпека державного кордону;TECHNICAL
26;Цивільна безпека;TECHNICAL
27;Транспорт;TECHNICAL
28;Публічне управління та адміністрування;HUMANITIES
29;Міжнародні відносини;HUMANITIES
